cvss,vuln_age_days,access_vector_enc,access_complexity_enc,access_authentication_enc,impact_confidentiality_enc,impact_integrity_enc,impact_availability_enc,cwe_group_enc,kw_remote,kw_code_exec,kw_priv_esc,kw_dos,true_label,ai_risk_score
3.5,3612,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999854754
5.4,5967,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999854696
4.9,4537,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999854654
5.0,5958,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999854596
7.5,4506,3,2,2,2,2,2,2,0,0,0,1,1,0.999999999985431
4.6,4494,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999854177
5.0,4972,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999854019
5.0,4432,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999853486
6.6,5846,3,2,2,2,2,2,3,1,0,0,1,1,0.9999999999853351
5.0,4910,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999853328
4.3,4404,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999853175
5.0,4864,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999852813
4.3,4852,3,2,2,2,2,2,3,1,0,0,0,1,0.999999999985268
7.8,4831,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999852445
4.3,4830,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999852434
9.3,4808,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999852185
5.4,4787,3,2,2,2,2,2,3,1,0,0,0,1,0.999999999985195
3.5,4769,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999851745
4.9,4735,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999851361
4.3,4735,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999851361
5.0,4735,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999851361
9.3,4734,3,2,2,2,2,2,3,1,0,0,0,1,0.999999999985135
9.3,4222,3,2,2,2,2,2,2,0,0,0,1,1,0.9999999999851126
4.3,8402,3,2,2,2,2,2,2,1,0,0,0,1,0.9999999999851032
